Code_Postal,Metropole
33000,BORDEAUX
33100,BORDEAUX
33126,BORDEAUX
33127,BORDEAUX
33130,BORDEAUX
33133,BORDEAUX
33140,BORDEAUX
33141,BORDEAUX
33150,BORDEAUX
33160,BORDEAUX
33170,BORDEAUX
33185,BORDEAUX
33200,BORDEAUX
33240,BORDEAUX
33270,BORDEAUX
33290,BORDEAUX
33300,BORDEAUX
33310,BORDEAUX
33320,BORDEAUX
33360,BORDEAUX
33370,BORDEAUX
33400,BORDEAUX
33410,BORDEAUX
33420,BORDEAUX
33440,BORDEAUX
33450,BORDEAUX
33460,BORDEAUX
33480,BORDEAUX
33500,BORDEAUX
33520,BORDEAUX
33530,BORDEAUX
33550,BORDEAUX
33560,BORDEAUX
33600,BORDEAUX
33610,BORDEAUX
33640,BORDEAUX
33650,BORDEAUX
33670,BORDEAUX
33700,BORDEAUX
33710,BORDEAUX
33720,BORDEAUX
33750,BORDEAUX
33760,BORDEAUX
33800,BORDEAUX
33850,BORDEAUX
33870,BORDEAUX
33880,BORDEAUX
67000,STRASBOURG
67112,STRASBOURG
67113,STRASBOURG
67114,STRASBOURG
67115,STRASBOURG
67116,STRASBOURG
67117,STRASBOURG
67118,STRASBOURG
67120,STRASBOURG
67150,STRASBOURG
67170,STRASBOURG
67190,STRASBOURG
67201,STRASBOURG
67202,STRASBOURG
67203,STRASBOURG
67204,STRASBOURG
67205,STRASBOURG
67210,STRASBOURG
67240,STRASBOURG
67270,STRASBOURG
67300,STRASBOURG
67310,STRASBOURG
67330,STRASBOURG
67350,STRASBOURG
67370,STRASBOURG
67380,STRASBOURG
67400,STRASBOURG
67410,STRASBOURG
67440,STRASBOURG
67450,STRASBOURG
67490,STRASBOURG
67500,STRASBOURG
67520,STRASBOURG
67530,STRASBOURG
67540,STRASBOURG
67550,STRASBOURG
67560,STRASBOURG
67580,STRASBOURG
67590,STRASBOURG
67610,STRASBOURG
67620,STRASBOURG
67640,STRASBOURG
67670,STRASBOURG
67700,STRASBOURG
67720,STRASBOURG
67760,STRASBOURG
67770,STRASBOURG
67790,STRASBOURG
67800,STRASBOURG
67810,STRASBOURG
67840,STRASBOURG
67850,STRASBOURG
67870,STRASBOURG
67880,STRASBOURG
67960,STRASBOURG
67980,STRASBOURG
67990,STRASBOURG
69000,LYON
69001,LYON
69002,LYON
69003,LYON
69004,LYON
69005,LYON
69006,LYON
69007,LYON
69008,LYON
69009,LYON
69100,LYON
69110,LYON
69120,LYON
69124,LYON
69126,LYON
69130,LYON
69140,LYON
69150,LYON
69160,LYON
69190,LYON
69200,LYON
69210,LYON
69210,LYON
69230,LYON
69250,LYON
69260,LYON
69270,LYON
69280,LYON
69290,LYON
69300,LYON
69310,LYON
69320,LYON
69330,LYON
69340,LYON
69360,LYON
69370,LYON
69380,LYON
69390,LYON
69410,LYON
69450,LYON
69500,LYON
69510,LYON
69520,LYON
69530,LYON
69540,LYON
69570,LYON
69580,LYON
69600,LYON
69630,LYON
69650,LYON
69660,LYON
69670,LYON
69680,LYON
69720,LYON
69730,LYON
69740,LYON
69760,LYON
69780,LYON
69800,LYON
69890,LYON
69960,LYON
69970,LYON
13001,MARSEILLE
13002,MARSEILLE
13003,MARSEILLE
13004,MARSEILLE
13005,MARSEILLE
13006,MARSEILLE
13007,MARSEILLE
13008,MARSEILLE
13009,MARSEILLE
13010,MARSEILLE
13011,MARSEILLE
13012,MARSEILLE
13013,MARSEILLE
13014,MARSEILLE
13015,MARSEILLE
13016,MARSEILLE
13260,MARSEILLE
13600,MARSEILLE
13821,MARSEILLE
13470,MARSEILLE
13830,MARSEILLE
13780,MARSEILLE
13420,MARSEILLE
13400,MARSEILLE
13190,MARSEILLE
13360,MARSEILLE
13390,MARSEILLE
13124,MARSEILLE
13112,MARSEILLE
13530,MARSEILLE
13380,MARSEILLE
13119,MARSEILLE
13720,MARSEILLE
13790,MARSEILLE
13114,MARSEILLE
13126,MARSEILLE
13710,MARSEILLE
13850,MARSEILLE
13105,MARSEILLE
13109,MARSEILLE
13240,MARSEILLE
13120,MARSEILLE
13090,MARSEILLE
13320,MARSEILLE
13760,MARSEILLE
13510,MARSEILLE
13111,MARSEILLE
13122,MARSEILLE
13880,MARSEILLE
13580,MARSEILLE
13130,MARSEILLE
13340,MARSEILLE
13127,MARSEILLE
13700,MARSEILLE
13480,MARSEILLE
13170,MARSEILLE
13180,MARSEILLE
13740,MARSEILLE
13820,MARSEILLE
13220,MARSEILLE
13500,MARSEILLE
13960,MARSEILLE
13620,MARSEILLE
13590,MARSEILLE