budg_bu,budg_categorie_pnl,budg_annee,budg_mois,budg_valeur
NESHU,CA,2025,1,570768.550030292
NESHU,CA,2025,2,571506.968678056
NESHU,CA,2025,3,564174.211105658
NESHU,CA,2025,4,621226.433753181
NESHU,CA,2025,5,546354.593583545
NESHU,CA,2025,6,623833.248394523
NESHU,CA,2025,7,591271.430687023
NESHU,CA,2025,8,390122.868909487
NESHU,CA,2025,9,697558.717846844
NESHU,CA,2025,10,740886.975882709
NESHU,CA,2025,11,659384.142566945
NESHU,CA,2025,12,716022.749326306
NUNSHEN,CA,2025,1,107162.637171243
NUNSHEN,CA,2025,2,112163.453024535
NUNSHEN,CA,2025,3,130077.621322447
NUNSHEN,CA,2025,4,129886.935971583
NUNSHEN,CA,2025,5,114114.481261179
NUNSHEN,CA,2025,6,137880.125050014
NUNSHEN,CA,2025,7,117028.442382943
NUNSHEN,CA,2025,8,77234.7784553368
NUNSHEN,CA,2025,9,139817.101830826
NUNSHEN,CA,2025,10,151984.161581177
NUNSHEN,CA,2025,11,167565.225671248
NUNSHEN,CA,2025,12,139208.467650019
COMMERCE,CA,2025,1,696463.775534169
COMMERCE,CA,2025,2,633534.203270591
COMMERCE,CA,2025,3,619036.063465581
COMMERCE,CA,2025,4,672805.815619961
COMMERCE,CA,2025,5,584937.63210117
COMMERCE,CA,2025,6,504300.688430515
COMMERCE,CA,2025,7,364260.536736298
COMMERCE,CA,2025,8,244291.490020612
COMMERCE,CA,2025,9,435855.022681615
COMMERCE,CA,2025,10,342643.840840032
COMMERCE,CA,2025,11,272220.086624279
COMMERCE,CA,2025,12,244498.728178535
NESHU,CONSOMMATION_MP_SSTT,2025,1,-228307.420012117
NESHU,CONSOMMATION_MP_SSTT,2025,2,-228602.787471223
NESHU,CONSOMMATION_MP_SSTT,2025,3,-225669.684442263
NESHU,CONSOMMATION_MP_SSTT,2025,4,-248490.573501272
NESHU,CONSOMMATION_MP_SSTT,2025,5,-218541.837433418
NESHU,CONSOMMATION_MP_SSTT,2025,6,-249533.299357809
NESHU,CONSOMMATION_MP_SSTT,2025,7,-236508.572274809
NESHU,CONSOMMATION_MP_SSTT,2025,8,-156049.147563795
NESHU,CONSOMMATION_MP_SSTT,2025,9,-279023.487138737
NESHU,CONSOMMATION_MP_SSTT,2025,10,-296354.790353084
NESHU,CONSOMMATION_MP_SSTT,2025,11,-263753.657026778
NESHU,CONSOMMATION_MP_SSTT,2025,12,-286409.099730522
NUNSHEN,CONSOMMATION_MP_SSTT,2025,1,-60093.0255472422
NUNSHEN,CONSOMMATION_MP_SSTT,2025,2,-62543.4253153553
NUNSHEN,CONSOMMATION_MP_SSTT,2025,3,-71321.3677813324
NUNSHEN,CONSOMMATION_MP_SSTT,2025,4,-71227.9319594088
NUNSHEN,CONSOMMATION_MP_SSTT,2025,5,-63499.4291513108
NUNSHEN,CONSOMMATION_MP_SSTT,2025,6,-75144.5946078403
NUNSHEN,CONSOMMATION_MP_SSTT,2025,7,-64927.2701009752
NUNSHEN,CONSOMMATION_MP_SSTT,2025,8,-45428.3747764484
NUNSHEN,CONSOMMATION_MP_SSTT,2025,9,-76093.7132304381
NUNSHEN,CONSOMMATION_MP_SSTT,2025,10,-82055.5725081101
NUNSHEN,CONSOMMATION_MP_SSTT,2025,11,-89690.293912245
NUNSHEN,CONSOMMATION_MP_SSTT,2025,12,-75795.4824818428
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,1,-7954.05405405405
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,2,-8683.78378378379
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,3,-9413.51351351351
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,4,-9413.51351351351
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,5,-9413.51351351351
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,6,-9705.40540540541
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,7,-7735.13513513514
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,8,-6567.56756756757
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,9,-10143.2432432432
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,10,-10143.2432432432
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,11,-10143.2432432432
TECHNIQUE,CONSOMMATION_MP_SSTT,2025,12,-8683.78378378379
NESHU,MASSE_SALARIALE,2025,1,-150165.577683
NESHU,MASSE_SALARIALE,2025,2,-161131.751016333
NESHU,MASSE_SALARIALE,2025,3,-161266.581016333
NESHU,MASSE_SALARIALE,2025,4,-166187.876016333
NESHU,MASSE_SALARIALE,2025,5,-183243.871016333
NESHU,MASSE_SALARIALE,2025,6,-167671.006016333
NESHU,MASSE_SALARIALE,2025,7,-169288.966016333
NESHU,MASSE_SALARIALE,2025,8,-189108.976016333
NESHU,MASSE_SALARIALE,2025,9,-173468.696016333
NESHU,MASSE_SALARIALE,2025,10,-175086.656016333
NESHU,MASSE_SALARIALE,2025,11,-192075.236016333
NESHU,MASSE_SALARIALE,2025,12,-211670.529349667
NUNSHEN,MASSE_SALARIALE,2025,1,-43019.11
NUNSHEN,MASSE_SALARIALE,2025,2,-43227.61
NUNSHEN,MASSE_SALARIALE,2025,3,-43227.61
NUNSHEN,MASSE_SALARIALE,2025,4,-43227.61
NUNSHEN,MASSE_SALARIALE,2025,5,-49934.36
NUNSHEN,MASSE_SALARIALE,2025,6,-43297.11
NUNSHEN,MASSE_SALARIALE,2025,7,-43297.11
NUNSHEN,MASSE_SALARIALE,2025,8,-50003.86
NUNSHEN,MASSE_SALARIALE,2025,9,-43297.11
NUNSHEN,MASSE_SALARIALE,2025,10,-43297.11
NUNSHEN,MASSE_SALARIALE,2025,11,-50003.86
NUNSHEN,MASSE_SALARIALE,2025,12,-50142.86
COMMERCE,MASSE_SALARIALE,2025,1,-165214.549598
COMMERCE,MASSE_SALARIALE,2025,2,-165350.769598
COMMERCE,MASSE_SALARIALE,2025,3,-165555.099598
COMMERCE,MASSE_SALARIALE,2025,4,-165691.319598
COMMERCE,MASSE_SALARIALE,2025,5,-309743.969598
COMMERCE,MASSE_SALARIALE,2025,6,-165827.539598
COMMERCE,MASSE_SALARIALE,2025,7,-165895.649598
COMMERCE,MASSE_SALARIALE,2025,8,-310016.409598
COMMERCE,MASSE_SALARIALE,2025,9,-165963.759598
COMMERCE,MASSE_SALARIALE,2025,10,-165963.759598
COMMERCE,MASSE_SALARIALE,2025,11,-310016.409598
COMMERCE,MASSE_SALARIALE,2025,12,-310084.519598
TECHNIQUE,MASSE_SALARIALE,2025,1,-118910.33
TECHNIQUE,MASSE_SALARIALE,2025,2,-164694.787083333
TECHNIQUE,MASSE_SALARIALE,2025,3,-164694.787083333
TECHNIQUE,MASSE_SALARIALE,2025,4,-171366.787083333
TECHNIQUE,MASSE_SALARIALE,2025,5,-164903.287083333
TECHNIQUE,MASSE_SALARIALE,2025,6,-164903.287083333
TECHNIQUE,MASSE_SALARIALE,2025,7,-171436.287083333
TECHNIQUE,MASSE_SALARIALE,2025,8,-164903.287083333
TECHNIQUE,MASSE_SALARIALE,2025,9,-164903.287083333
TECHNIQUE,MASSE_SALARIALE,2025,10,-171436.287083333
TECHNIQUE,MASSE_SALARIALE,2025,11,-164972.787083333
TECHNIQUE,MASSE_SALARIALE,2025,12,-214649.244166667
NESHU,CA,2026,1,613496.281796818
NESHU,CA,2026,2,545957.03197854
NESHU,CA,2026,3,580970.859855541
NESHU,CA,2026,4,603267.224580397
NESHU,CA,2026,5,580823.359021995
NESHU,CA,2026,6,706406.99582319
NESHU,CA,2026,7,623618.865829596
NESHU,CA,2026,8,459877.927522955
NESHU,CA,2026,9,728566.589442665
NESHU,CA,2026,10,680491.964144779
NESHU,CA,2026,11,706821.194789665
NESHU,CA,2026,12,720583.887892377
NUNSHEN,CA,2026,1,154342.5112
NUNSHEN,CA,2026,2,149629.3871
NUNSHEN,CA,2026,3,140368.7538
NUNSHEN,CA,2026,4,141238.1523
NUNSHEN,CA,2026,5,114338.4764
NUNSHEN,CA,2026,6,125524.5734
NUNSHEN,CA,2026,7,118972.5896
NUNSHEN,CA,2026,8,99413.1015
NUNSHEN,CA,2026,9,161847.38181
NUNSHEN,CA,2026,10,164545.05776
NUNSHEN,CA,2026,11,209292.92344
NUNSHEN,CA,2026,12,174967.12927
COMMERCE,CA,2026,1,624405.490113391
COMMERCE,CA,2026,2,619690.389840115
COMMERCE,CA,2026,3,728056.678860058
COMMERCE,CA,2026,4,617387.565942675
COMMERCE,CA,2026,5,511575.357936711
COMMERCE,CA,2026,6,637656.078266103
COMMERCE,CA,2026,7,390787.834712965
COMMERCE,CA,2026,8,306993.946388252
COMMERCE,CA,2026,9,475104.24690984
COMMERCE,CA,2026,10,341162.060250436
COMMERCE,CA,2026,11,346270.899008694
COMMERCE,CA,2026,12,277630.365998261
TECHNIQUE,CA,2026,1,422569.338126
TECHNIQUE,CA,2026,2,451925.410897
TECHNIQUE,CA,2026,3,465718.671214
TECHNIQUE,CA,2026,4,448562.046306
TECHNIQUE,CA,2026,5,371678.157826
TECHNIQUE,CA,2026,6,460609.282366
TECHNIQUE,CA,2026,7,403089.112567
TECHNIQUE,CA,2026,8,316088.342117
TECHNIQUE,CA,2026,9,434848.397141
TECHNIQUE,CA,2026,10,460581.681715
TECHNIQUE,CA,2026,11,432097.91452
TECHNIQUE,CA,2026,12,386085.675205
NESHU,CONSOMMATION_MP_SSTT,2026,1,-253987.460663883
NESHU,CONSOMMATION_MP_SSTT,2026,2,-226026.211239115
NESHU,CONSOMMATION_MP_SSTT,2026,3,-240521.935980194
NESHU,CONSOMMATION_MP_SSTT,2026,4,-249752.630976284
NESHU,CONSOMMATION_MP_SSTT,2026,5,-240460.870635106
NESHU,CONSOMMATION_MP_SSTT,2026,6,-292452.496270801
NESHU,CONSOMMATION_MP_SSTT,2026,7,-258178.210453453
NESHU,CONSOMMATION_MP_SSTT,2026,8,-190389.461994504
NESHU,CONSOMMATION_MP_SSTT,2026,9,-301626.568029263
NESHU,CONSOMMATION_MP_SSTT,2026,10,-281723.673155939
NESHU,CONSOMMATION_MP_SSTT,2026,11,-292623.974642921
NESHU,CONSOMMATION_MP_SSTT,2026,12,-194321.729587444
NUNSHEN,CONSOMMATION_MP_SSTT,2026,1,-76120.7967066667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,2,-73999.8908616666
NUNSHEN,CONSOMMATION_MP_SSTT,2026,3,-69832.6058766667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,4,-70223.8352016667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,5,-58118.9810466667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,6,-63152.7246966667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,7,-60204.3319866667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,8,-51402.5623416667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,9,-79497.9884811667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,10,-80711.9426586667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,11,-100848.482214667
NUNSHEN,CONSOMMATION_MP_SSTT,2026,12,-85401.8748381667
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,1,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,2,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,3,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,4,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,5,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,6,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,7,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,8,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,9,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,10,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,11,-13333.3333333333
TECHNIQUE,CONSOMMATION_MP_SSTT,2026,12,-13333.3333333333
NESHU,MASSE_SALARIALE,2026,1,-155796.78050207
NESHU,MASSE_SALARIALE,2026,2,-170781.173985403
NESHU,MASSE_SALARIALE,2026,3,-174206.971485403
NESHU,MASSE_SALARIALE,2026,4,-177800.700235403
NESHU,MASSE_SALARIALE,2026,5,-198153.967735403
NESHU,MASSE_SALARIALE,2026,6,-177397.665235403
NESHU,MASSE_SALARIALE,2026,7,-180991.393985403
NESHU,MASSE_SALARIALE,2026,8,-198288.312735403
NESHU,MASSE_SALARIALE,2026,9,-180454.013985403
NESHU,MASSE_SALARIALE,2026,10,-184114.915235403
NESHU,MASSE_SALARIALE,2026,11,-204468.182735403
NESHU,MASSE_SALARIALE,2026,12,-221199.061218737
NUNSHEN,MASSE_SALARIALE,2026,1,-35761.211333
NUNSHEN,MASSE_SALARIALE,2026,2,-36049.7529996667
NUNSHEN,MASSE_SALARIALE,2026,3,-36049.7529996667
NUNSHEN,MASSE_SALARIALE,2026,4,-36049.7529996667
NUNSHEN,MASSE_SALARIALE,2026,5,-44221.2529996667
NUNSHEN,MASSE_SALARIALE,2026,6,-36049.7529996667
NUNSHEN,MASSE_SALARIALE,2026,7,-39581.5029996667
NUNSHEN,MASSE_SALARIALE,2026,8,-47753.0029996667
NUNSHEN,MASSE_SALARIALE,2026,9,-39581.5029996667
NUNSHEN,MASSE_SALARIALE,2026,10,-49581.5029996667
NUNSHEN,MASSE_SALARIALE,2026,11,-57753.0029996667
NUNSHEN,MASSE_SALARIALE,2026,12,-71960.7946663333
COMMERCE,MASSE_SALARIALE,2026,1,-171601.873125925
COMMERCE,MASSE_SALARIALE,2026,2,-171601.873125925
COMMERCE,MASSE_SALARIALE,2026,3,-171736.218125925
COMMERCE,MASSE_SALARIALE,2026,4,-171803.390625925
COMMERCE,MASSE_SALARIALE,2026,5,-333084.563125925
COMMERCE,MASSE_SALARIALE,2026,6,-171870.563125925
COMMERCE,MASSE_SALARIALE,2026,7,-171870.563125925
COMMERCE,MASSE_SALARIALE,2026,8,-333084.563125925
COMMERCE,MASSE_SALARIALE,2026,9,-171937.735625925
COMMERCE,MASSE_SALARIALE,2026,10,-172206.425625925
COMMERCE,MASSE_SALARIALE,2026,11,-333487.598125925
COMMERCE,MASSE_SALARIALE,2026,12,-333621.943125925
TECHNIQUE,MASSE_SALARIALE,2026,1,-109263.2046925
TECHNIQUE,MASSE_SALARIALE,2026,2,-144005.40882011
TECHNIQUE,MASSE_SALARIALE,2026,3,-144005.40882011
TECHNIQUE,MASSE_SALARIALE,2026,4,-144074.65882011
TECHNIQUE,MASSE_SALARIALE,2026,5,-144143.90882011
TECHNIQUE,MASSE_SALARIALE,2026,6,-144143.90882011
TECHNIQUE,MASSE_SALARIALE,2026,7,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,8,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,9,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,10,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,11,-144213.15882011
TECHNIQUE,MASSE_SALARIALE,2026,12,-179093.862947719
TECHNIQUE,CA,2025,1,459292.060550981
TECHNIQUE,CA,2025,2,452909.609217237
TECHNIQUE,CA,2025,3,464887.384227574
TECHNIQUE,CA,2025,4,470348.201338823
TECHNIQUE,CA,2025,5,428111.594500769
TECHNIQUE,CA,2025,6,478194.676612599
TECHNIQUE,CA,2025,7,417551.795508062
TECHNIQUE,CA,2025,8,327082.755801015
TECHNIQUE,CA,2025,9,472310.394078158
TECHNIQUE,CA,2025,10,518536.887692824
TECHNIQUE,CA,2025,11,450748.920024674
TECHNIQUE,CA,2025,12,404550.120447285
