article_ref_nomad,article_desc,article_ref_cordon,article_prix_unitaire
0044254,Thermobloc 1080W,Non Référencé CORDON,0
0044269,Outil montage,07EUGOUT0008,55.96
0044356,Circ. imp. comm 742 gauch v2,07EUGPEM0130,12.55
0044357,Circ. imp. comm 742 droite v2,07EUGPEM0145,11.35
0044358,Circ imp IR 742 V3 kalibré,07EUGPEM0131,5.98
0044369,Circ. imp. comm 758 cpl v2,07EUGPEM0133,12.33
0044370,Circ.imp IR 758 cpl V2,07EUGPEM0134,5.61
0044413,Etiqu EAN code 704 CS20,CS20 - Non Référencé CORDON,0
0044533,Raccord Fluide form Y V3,Non Référencé CORDON,0
0044555,Electro 704 main board MOC 600V,CS20 - Non Référencé CORDON,0
0044579,Vis sécu GF/Tapt.M3x20,07EUGPPC0509,0.06
0044583,Tuyau PFA D4.0/2.50x95mm,07EUGPPC0510,0.56
0044666,Module affichage 702 2x20 symb lumière b,07EUGPEM0062,22.7
0044667,Circ.IR détecteur module 702,Non Référencé CORDON,0
0044669,LED 702 cpl,Non Référencé CORDON (Obsolète),0
0044670,Circ imp puissance 702 220-230V vap,07EUGPEM0038,9.48
0044680,Connect 702 7x cpl CP7,07EUGPPC0240,1.38
0044681,Connect 702 7x cpl CP8,07EUGPPC0241,1.38
0044686,cache 705 sortie chrom sortie eau chaude,07EUGCOS0130,2.04
0044688,Réservoir à eau complet,Non Référencé CORDON,0
0044701,Transformateur MS6122 230V,07EUGPEM0039,26.24
0044702,Soupa magn 220-240V 2-voie fermé,07EUGPEM0040,16.46
0044969,Tôle contact 680 bac collect V2,07EUGPPC0582,0.25
0045092,Moteur RS-545 SH,Non Référencé CORDON,0
0045194,Conten caps 703 noir,07EUGPPC0252,2.9
0045195,Support 703 unité extract,07EUGCOS0177,8.35
0045196,Base 703 noir,07EUGPPC0253,3.43
0045201,Paroi lat. 703 alu gauch/droit elox inc.,07EUGCOS0136,13.97
0045202,Paroi arr. 703 noir,07EUGCOS0180,3.43
0045325,Couvercle 748 réserv eau V2,07EUGCOS0274,0.32
0045570,Couvercle réservoir avec serrure,07EUGCOS0138,11.03
0045689,Vis M3x6 zing bl tête,07EUGPPC0258,0.02
0045707,Thermobloc 2003/L 230V/1200W V2,07EUGPEM0043,6.83
0045715,Thermobl 2003/N 230V/1080W V2 embout,07EUGPEM0056,5.23
0045727,Axe charnière 703 noir,07EUGPPC0259,0.19
0046407,Sortie 427 Autocap.noir,Non Référencé CORDON,0
0046409,Sortie 427 Jet breaker,Non Référencé CORDON,0
0046811,Robinet droit neutre racc 5mm,07EUGPPC0261,1.54
0046874,Pompe 702 230V/50Hz thermost monté,07EUGPEM0044,6.67
0047121,CCT fil tors 702 EU 192C,07EUGPPC0267,0.7
0047122,CCT Fil tors. 702 EU 167C,07EUGPPC0268,0.94
0047237,Pince ressort D=1.3mm tuyau V2 silic.,07EUGPPC0269,0.06
0047363,Tuyau silic/renforcé di 4.2 da 8.0/195 m,07EUGPPC0271,0.28
0047364,Tuyau silic/renforcé di 4.2 da 8.0/285 m,07EUGPPC0272,0.4
0047365,Tuyau silic/renforcé di 4.2 da 8.0/65mm,07EUGPPC0273,0.14
0047370,Bac collect 702 gauche cpl,07EUGCOS0139,4.11
0047371,Bac collect 702 droite cpl,07EUGCOS0140,3.99
0047760,Circ imp comm 703 flash logic,07EUGPEM0095,49.55
0047763,O-Ring 012.00x1.00 EPDM 70 shore noir,07EUGPPC0275,0.06
0047975,Kit Electro 742 / 1a,Non Référencé CORDON,0
0048199,moteur CS 2x0,07EUGPPC0279,4.57
0048201,Rech plaque de contact 702/705 cpl,07EUGPPC0280,0.56
0048202,Rech couvercle sécurité 702,07EUGPPC0281,3.91
0048203,Rech bac collecteur 702 cpl cappuc,07EUGCOS0143,7.89
0048204,Rech bac collecteur 705 cpl,07EUGCOS0144,4.27
0048341,Rech circ imp comm 705EU logic Vflash,07EUGPEM0045,37.7
0048343,Rech circ imp comm 702 EU logic. Vflash,07EUGPEM0046,37.01
0048344,Rech circ imp comm 705 EU 220-230V,Non Référencé CORDON (Remplacé par 0064186),0
0048436,Face 703 noir. imp,07EUGCOS0172,6.81
0048478,CCT fil tors 703 EU 167C (1XE5) blanc,07EUGPPC0283,1.17
0048502,Interrupt 1831.3606G s.lum noir.,07EUGPEM0047,0.58
0048891,Cache 704 bac collect noir,CS20 - Non Référencé CORDON,0
0048893,Insert 704 bac collect,CS20 - Non Référencé CORDON,0
0048905,Microrupt D41R-QGAC V20.1A/250V/4.8x0.8,07EUGPEM0049,0.43
0049176,CCT Fil tors. 702 EU 167C Gris,07EUGPPC0285,0.84
0049177,CCT fil tors 702 EU 192C,07EUGPPC0286,0.76
0049185,Réducteur fluide 702 neutre,07EUGPPC0287,0.2
0049351,Rech circ imp comm 705 EU V2,07EUGPEM0050,67.39
0049354,Rech circ imp comm 702 EU V2,07EUGPEM0051,78.26
0049355,Circ imp puiss 703 220-240V. track fuse,Non Référencé CORDON (Obsolète),0
0049451,Racc coudé fluide 702 0.6,07EUGPPC0289,0.33
0049485,Supp commutat soupa vap 2 microrupt,07EUGPPC0514,0.13
0049489,Cache frontal 702 droite V2,07EUGCOS0173,6.75
0049490,Cache frontal 702 gauch V2,07EUGCOS0174,6.56
0049866,TOLE ESPACEMENT 702 UNIT EXTRACTION NOIR,Non Référencé CORDON,0
0049887,Circ.imp comm 742 220-240V/e3,07EUGPEM0153,33.95
0050001,Soupa sortie élé.chauf V3 press ouvert,07EUGPPC0293,0.84
0050349,Support 742/2001/L 230V/1200W mont.,07EUGPPC0521,29.5
0050405,Cover 702 cup,07EUGCOS0150,0.69
0050411,Grid,07EUGCOS0291,3.01
0050412,Cover 702 cup,07EUGCOS0152,0.56
0050865,Circ.IR détecteur module 702,07EUGPEM0052,6.5
0050867,Clavier module 702 V2,07EUGPEM0157,10.53
0050870,Clavier module 705,07EUGPEM0190,8.21
0050871,LED 703 lumière réservoir,07EUGPEM0054,3.03
0050872,Clavier module V2 on/off bout eau chaude,07EUGPEM0055,7.4
0050901,Crochet fermeture 758 OCS,07EUGPPC0516,0.81
0050921,Tube 703 eau chaude,07EUGCOS0154,7.79
0050973,METALLIC SCREW AND GREASE,07EUGPPC0298,12.27
0051076,Thermobloc 1080W V3,07EUGPEM0056,5.23
0051083,Thermobloc 1080W V2,07EUGPEM0057,5.49
0051084,Clavier module 702 café,07EUGPEM0058,9.24
0051192,Face 702 Cappuc noir V2,07EUGCOS0156,3.87
0051197,Cache Frontal CS200,07EUGCOS0157,3.31
0051221,Réserv eau 702 cpl,07EUGCOS0158,9.14
0051590,Conten lait 704 cpl satin,07EUGCOS0159,10.86
0051640,Cache 703 gobelet noir V2,Non Référencé CORDON (Obsolète),0
0051641,Brise jet 703 noir,07EUGCOS0161,0.73
0052014,Cache 702 sortie chrom.V2,07EUGCOS0162,6.8
0052028,Rech Plaque pyramides 702/705,07EUGPPC0300,2.42
0052030,Rech Plaque supp 702/705,07EUGPPC0302,1.04
0052999,Poussoir soupa 702 cpl mont.,07EUGPPC0305,0.85
0053028,Engrenage,07EUGPPC0306,0.14
0053278,Réserv eau 703 cpl V2,07EUGCOS0163,10.96
0053296,Drip tray 702 right complete,07EUGCOS0167,3.35
0053297,Drip tray 702 middle complete,07EUGCOS0165,3
0053301,Drip tray 702 left complete,07EUGCOS0168,3.35
0053628,Tuyau silic / renforcé 8.2/340mm,07EUGPPC0308,0.56
0053632,Tuyau silic 10.0x2.00x065,07EUGPPC0311,0.14
0053681,Circ.imp. puissance 703,Non Référencé CORDON (Obsolète),0
0053682,Circ.impr puissance 703 V3,07EUGPEM0059,17
0053686,Circ.imp puissance 702 V3,07EUGPEM0038,9.48
0056171,Unit extr 758 inf V2 mont.plaq pyrami.,07EUGPPC0517,3.84
0057367,Module affichage 703 V2,07EUGPEM0061,27.64
0057368,Module affichage 702 V2,07EUGPEM0062,22.7
0058699,Circ.imp comm 758 220-240V V6,07EUGPEM0155,61.2
0058747,Soupa magn DEV122-1560 V2,07EUGPPC0315,8.01
0060148,Unité d'extraction V5,07EUGPPC0317,68.63
0060162,Plaque supp 747 sup V3,07EUGCOS0278,1.78
0062355,Clavier module 703 V3,07EUGPEM0096,7.2
0062356,Circ.imp comm 703 Flash V2,07EUGPEM0063,48.95
0062357,Clavier module 702,07EUGPEM0064,15.81
0062359,Clavier module 705 V3,07EUGPEM0065,15.15
0063022,Circ Imp Comm V7 > 2010 eup,07EUGPEM0144,62.37
0063024,Clavier V2 Boutons S,07EUGCOS0281,2.11
0063026,Circ. Imp Comm 742 droite V3,07EUGPEM0145,11.35
0063108,Transformateur MS6122 230V,07EUGPEM0158,27.83
0063573,Pièce encliquet 702 noir clavier module,Non Référencé CORDON (Obsolète),0
0063994,Kit (CS100):,07EUGPPC0319,1.73
0063995,Kit (Left),07EUGPPC0320,1.7
0063996,Kit (Right):,07EUGPPC0321,1.7
0064183,Rech circ imp comm 702 EU,07EUGPEM0066,36.37
0064184,Rech circ imp comm 702 EU V3,07EUGPPC0322,79.99
0064185,Rech circ imp comm 705 EU V2,07EUGPEM0067,34.99
0064186,Rech circ imp comm 705 EU V3,07EUGPPC0323,79.05
0065033,Réserv eau pour aquaclarity cpl,07EUGCOS0304,19.61
0065090,Condensateur 742 cpl Fil tors bleu 70MM,07EUGCPE0003,0.55
0065773,Circ Imp Comm 72 220-240V/e7,07EUGPEM0153,33.95
0066207,Support 702 reserv eau gauche,07EUGCOS0181,3.41
0066208,Support 702 reserv eau droite,07EUGCOS0182,4.01
0067793,Débimètre Gémini V2,07EUGPPC0543,1.14
0067795,Débimètre FHKSC 12 0°,07EUGPEM0011,1.13
0069293,tube silic  D09.0xd5.00x150mm,07EUGPPC0666,0.14
0069644,Détecteur 640 thermobl cpl V2 L=200mm,07EUGPEM0036,1.4
0071881,o-ring 003.40x1.90 silicon,07EUGPPC0055,0.03
0081598,cct fils tors blanc 733 167°c,07EUGPEM0172,0.91
0081599,cct fil tors 702 192°c brun,07EUGPEM0182,0.77
0082222,cct fils tors gris 733 167°c,07EUGPEM0174,0.9
0082226,Fil torsadé mult 733 EU jaune,07EUGPEM0171,0.69
0082227,fils tors mult 734 jaune,07EUGPEM0179,0.82
0082777,Moteur CS 2x3,07EUGPPC0537,6.09
0082873,BU CS 2X3,07EUGPEM0170,66.05
0082873R,BU CS 2x3 recond,07EUGPEM0189,42.18
0083238,soup magn dev 2 cote racc,07EUGPEM0180,7.96
0083239,electrovanne 2/2 bistable,07EUGPPC0315,8.01
0085125,cct fils tors bleu 733 167°c,07EUGPEM0173,0.92
0085774,panneau com 734 cpl,07EUGPPC0567,17.31
0085777,Panneau com 733 cpl,07EUGCOS0308,13.12
0085778,Panneau com. 733 cpl,07EUGCOS0305,16.72
0085781,Circ IR détecteur module 733,Non Référencé CORDON,0
0085782,box comm 733 cpl,07EUGPPC0553,77.62
0085784,Led 733 lumière réservoir,07EUGPEM0166,2.97
0085785,tranformateur 733 cpl,07EUGPEM0175,15.49
0086803,rech plaque supp 733,07EUGPPC0538,1.01
0091745,Lien tower link CS2x3 Dispenser ,07EUGCAB0001,29.26
0092181,afficheur 733 cpl,07EUGPEM0176,19.01
0093964,box comm 733 cpl (ancienne),07EUGPPC0553,77.62
0095550,Sonsory box CS 2X3 V2,07EUGPEM0168,6.91
0095746,Carte puissance 2x3 cappuccino,07EUGPEM0181,10.23
0108294,M120 - Connecteur Lait module,07EUGPPC0742,0.27
0108297,couplage eau chassis,07EUGPPC0679,0.23
0108323,grille bac égouttoir  C,07EUGCOS0396,2.76
0108325,grille bac égouttoir CC & CM,07EUGCOS0414,3.18
0108519,BU momento complète,07EUGPEM0206,117.32
0108523,tuyau silicon D09.0xd5.00x400mm,07EUGPPC0685,0.37
0108628,PCB détection niveau d'eau,07EUGCEL0003,6.73
0108629,PCB détection bac à capsule,07EUGPEM0232,1.6
0108630,PCB access point,07EUGCEL0002,12.38
0108631,PCB EMC 100-240V 50/60Hz,07EUGCEL0001,4.16
0108656,thermobloc 220-240v IEC 1100W,07EUGPEM0213,12.44
0108657,tube silic 230,07EUGPPC0665,0.48
0108875,résistance plateau chauffe tasse,07EUGPEM0216,6.83
0108895,o-ring 005.23x2.62 EPDM,07EUGPPC0663,0.06
0109225,Plaque fileté chassis Momento,07EUGPPC0675,0.05
0109268,câble débimètre,07EUGPPC0668,0.93
0109276,câble signal reconnaisance capsule,07EUGPPC0669,0.34
0109277,câble signal main-MMI,07EUGPPC0670,1.68
0109279,câble signal 24v/3v Main-MMI,07EUGPPC0671,0.83
0109305,câble détecteur niveau d'eau  c/cc,07EUGPPC0683,0.57
0109306,extention câble main Chassis,07EUGPPC0687,3.01
0109312,câble signal access point,07EUGPPC0684,3.57
0109321,M120 - Connecteur PCB Chassis - PCB carte eau,07EUGPEM0287,0.64
0109352,power supply,07EUGPEM0214,13.57
0109359,led  tasse,07EUGPEM0207,1.15
0109387,serrure,07EUGPPC0677,3.38
0111872,support tasse pivotante droite,07EUGCOS0397,9.29
0111873,support tasse pivotante gauche,07EUGCOS0413,10.44
0111876,bac d'égouttage C,07EUGCOS0401,6.29
0111877,bac d'égouttage CC & CM,07EUGCOS0412,7.7
0111879,réservoir à eau C/CC,07EUGCOS0400,15.01
0113199,bac de rinçage,07EUGCOS0402,8.04
0113253,câble MHBU assembled,07EUGPPC0674,1.92
0113255,fusible 8A/500v,07EUGPEM0215,0.37
0114008,M120 - Cache arrivée lait Chassis,07EUGCOS0450,1.14
0114408,façade avant,07EUGCOS0383,4.96
0116167,M120 -  Clips Ligne lait module café,07EUGPPC0744,0.03
0116754,bac capsule,07EUGCOS0392,26.73
0116896,sortie café complet,07EUGPPC0657,1.6
0116897,pompe Momento 230V,07EUGPEM0208,10.24
0116910,tube silic/renforcé 300mm/embout/bride,07EUGPPC0658,1.86
0116911,tube silic / renforcé 190mm+110mm,07EUGPPC0659,3.31
0116912,tube silic/renforcé 340mm,07EUGPPC0660,2.12
0116913,tube silic/renforcé 64mm,07EUGPPC0661,1.25
0117646,Module café complet,07EUGKIT0001,554.82
0118490,système de reconnaisance capsule,07EUGPEM0209,58.45
0118491,PCB chassis ,07EUGPEM0218,35.57
0118492,carte électronique chassis extension CC,07EUGPEM0219,32.07
0118495,Main PCB coffee module ,07EUGPEM0210,57.99
0118497,MMI complet,07EUGPEM0211,122.87
0118497/R,MMI complet rec,07EUGPEM0211CR,0
0119090,M120 - Bac à eau ,07EUGCOS0449,18.42
0119424,Kit Moteur BU,07EUGPEM0212,13.43
0128457,M120 - Electrovanne de sortie ,07EUGPEM0234,77.88
0128470,M120 - Vis plastique Electrovanne,07EUGPPC0712,1.87
0128480,M120 - Electrovanne RF Box,07EUGPEM0237,66.06
0128485,M120 - carte électronique principal,07EUGCEL0005,201.08
0128488,M120 - Capteur detection tablette RF Box,07EUGPEM0236,14.97
0128489,M120 - Electrovanne Nettoyage,07EUGPEM0239,60.26
0128491,M120 - Electrovanne vapeur,07EUGPEM0240,53.7
0128493,M120 - Electrovanne Lait/mousse,07EUGPEM0242,67.71
0128494,M120 - Securité pression,07EUGPPC0729,47.2
0128683,M120 - Joint arrière RF Box,07EUGPPC0714,2.81
0128686,M120 - Cache carte electronique arrière,07EUGPPC0718,4.34
0128691,M120 - Cerclips pompe à eau,07EUGPPC0731,4.64
0128695,M120 - Regulateur d'air,07EUGPEM0243,207.79
0128696,M120 - Vis chambre de chauffe,07EUGPPC0736,0
0128698,M120 - Plaque latéral,07EUGPPC0737,0
0128806,M120 - Raccord L - Electrovanne de sortie,07EUGPPC0713,4.79
0128810,M120 - Faiseaux RF Box,07EUGPEM0235,3.25
0128812,M120 - Boitier RF Box,07EUGPPC0716,11.64
0128814,M120 - Raccord eau nettoyage RF Box,07EUGPPC0717,1.52
0128815,M120 - Tube Aspiration,07EUGPPC0715,13.65
0128816,M120 - Chambre de chauffe,07EUGPPC0735,27.27
0128823,M120 - Contacteur carte électronique,07EUGCEL0006,32.77
0128827,M120 - Cache carte electronique sup,07EUGPPC0719,15.8
0128832,M120 - Regulateur de pression,07EUGPPC0720,62.01
0128832R,M120 - Regulateur de pression- Retrofit V2,07EUGPPC0720C,0
0128833,M120 - Boiler 230V,07EUGPEM0238,190.63
0128833R,M120 - Boiler 230V - Retrofit V2,07EUGPEM0238C,0
0128834,M120 - Sortie Bac d'égouttage,07EUGPPC0721,2.07
0128835,M120 - Pompe Lait 24V,07EUGPEM0244,356.74
0128836,M120 - Raccord T - Pompe à lait - Air,07EUGPPC0727,24.8
0128837,M120 - Frigo 220V seul,07EUGPEM0233,909.08
0128838,M120 - Raccord rapide  8mm,07EUGPPC0733,1.15
0128839,M120 - Sonde température lait,07EUGPEM0248,25.52
0128841,M120 - Bac à lait + bac de nettoyage,07EUGCOS0451,108.63
0128842,M120 - Couplage module eau,07EUGPPC0734,32
0128844,M120 - Electrovanne vidange,07EUGPEM0241,40.57
0128845,M120 - Tuyau Pompe - Boiler,07EUGPPC0732,5.9
0128846,M120 - Pompe 24V,07EUGPEM0246,21.25
0128849,M120 - Raccord T,07EUGPPC0722,7.05
0128850,M120 - Raccord Y evacuation,07EUGPPC0730,1.77
0128851,M120 - Raccord coudé sortie pompe,07EUGPPC0728,15.38
0128852,M120 - Raccord droit,07EUGPPC0726,6.01
0128854,M120 - Raccord Y,07EUGPPC0723,8.71
0128855,M120 - Réducteur 0.65,07EUGPPC0724,5.12
0128857,M120 - Réducteur 0.90,07EUGPPC0725,5.56
0128861,M120 - Faisceaux module lait,07EUGPEM0247,39.29
0128867,M120 - Vis Plaque latéral,07EUGPPC0738,0.63
0128878,M120 - Manomètre électronique,07EUGPEM0245,49.38
0128984,M120 -  Ligne lait module café,07EUGPPC0743,4.22
0128985,M120 - connexion module café/lait,07EUGPPC0765,3.87
0129367,Joint raccord évacuation des eaux,07EUGPPC0741,0.05
0146546,Capsule LID V2,07EUGPEM0292,3.12
0147161,M120 - Tube 85mm pour Suppression PRV,En Cours de création,0
0147162,M120 - Tube 125mm pour Suppression PRV,En Cours de création,0
0147163,M120 - Tube 290mm pour Suppression PRV,En Cours de création,0
0147164,M120 - connecteur pour Suppression PRV,En Cours de création,0
1004561,Tower CS - Cable  Dispenser - Monnayeur,07AEQPEM0012,35.3
104602,Raccord 15x21,07NESPPC0017,5.42
108725,Bouchon bac d'égouttage Momento,07EUGPPC0709,0.1
109386,Kit réseau d'eau Momento 200,07EUGPPC0693,31.49
116843,Clé bac à eau Momento,07EUGPPC0678,0.77
118747,Capsule LID V1,07EUGPEM0225,4.08
119089,Réservoir à eau C/CC V2,07EUGCOS0415,14.98
119235,PCB détection d'eau V2,07EUGPEM0224,7.9
119346,Kit BU Momento,07EUGPEM0226,31.69
122692,Bac capsules Trémie Momento,07EUGCOS0448,33.75
131416,M120 - Kit préventive module lait,07EUGKIT0004,143.47
146560,Slot insertion capsule V2 sans Moteur,07EUGCOS0571,0.35
262667,Bac à capsule complet,07EVOPPC0007,0
262605,Bac à capsule vierge,07EVOPPC0003,19.4
252621,Bouton ON/OFF,07EVOPEM0003,4.1
251860,Câblage + capteur porte,07EVOCAB0005,2.57
262647,Cablâge liaison plateau/structure,07EVOCAB0003,21.99
262648,Cablâge plateau,07EVOCAB0004,5.95
262645,Cable général,07EVOCAB0001,49.03
261437,Capteur barrière sortie de capsule,07EVOPEM0002,14.92
262651,Capteur capsule tiroir,07EVOPEM0006,16.08
261238,Carte d'alimentation,07EVOCEL0002,23.7
262246,Carte de commande,07EVOCEL0001,100.22
262653,Carte système de paiment,07EVOCEL0003,11.75
262652,Carte tiroirs,07EVOCEL0004,50.57
Facturation,Cas de mauvaise utilisation facturée au client,Non Référencé CORDON,0
262631,Courroie plateau,07EVOPPC0005,8.25
262658,Ecran Tacile,07EVOLCD0001,496.18
262668,Glissière chassis,07EVOPPC0001,21.84
262610,Glissière Tiroir,07EVOPPC0002,4.23
262606,Joint Torique rouleau,07EVOPPC0004,1.2
257345,LED Sortie de capsule,07EVOPEM0001,1.72
262359,Moteur tiroir rouleau/plateau,07EVOPEM0005,22.53
0000001,Pas de pièce,Non Référencé CORDON,0
262662,Porte Dispenser Momento,07EVOCOS0001,165.93
262657,Poulie plateau,07EVOPPC0006,2.25
261438,Recepteur barrière sortie de capsule,07EVOPEM0004,13.98
262703,Serrure porte Dispenser,07EVOPPC0010,3.8
262674,Tapis plateau rotatif,07EVOPPC0008,6.11
263902,TOWER - Barillet Paiment module,07EVOPPC0014,16.85
44949,Couvercle 703 réserv eau,07EUGCOS0132,3.19
44951,Egouttoir 703 inox,07EUGCOS0133,6.08
48479,CCT fils tors 703 EU 167 C,07EUGPPC0284,1.12
49510,Bac collecteur 703 cpl,07EUGCOS0148,3.13
51990R,Bu Cs 2x0 reconditionné,07EUGPPC0526,0
92354,Tower - Complete Dispensing Module,07AEQPEM0001,48.6
92355,Vitre Dispenser Gemini,07AEQCOS0001,240.07
92374,Tower - Spring Cup Dispenser,07AEQPPC0009,1.76
92375,Tower - Cup Dispenser Tube (compl),07AEQCOS0009,45.05
92376,Tower - Button Print Set (6 pc) no cable,07AEQPEM0004,20.16
92377,Tower - Display Set,07AEQPEM0006,16.46
92378,Tower - Tasten,07AEQPEM0007,3.46
92520,Tower - Evacuation tube base cabinet,07AEQPPC0010,4.4
92759,Tower - Micro switch for Dispenser door,07AEQPEM0003,4.49
92760,Tower - Dispenser main board,07AEQCEL0001,119.61
92761,Tower - Dispenser power board,07AEQCEL0002,34.44
93091,Tower - Driving motor base cabinet 30035,07AEQPEM0013,10.08
AQUASTOP,Aquastop,07NESPPC0011,14.73
262649,Tower Link,07EVOCAB0002,12.89
B0606CM,Raccord Femelle 3/8 BSPP à cône x 6 mm,07NESPPC0001,2.65
BESTMAXV,Filtre BWT Bestmax V,07NESPPC0013,35.5
CAPUCHON,GUIDE BOUTON TOWER ,07NESPPC0016,0.15
CBLXS00274,POTENTIOMETRE ,07EDGPEM0001,37.26
ELE0000915,THERMOSTAT DE POMPE,07EDGPEM0002,2.08
ELE0000931,SONDE DE TEMPERATURE,07EDGPEM0003,6.94
ELE0000985,SONDE DE TEMPERATURE,07EDGPEM0004,13.5
ELE0000986,SONDE DE TEMPERATURE,07EDGPEM0005,9.28
ELE0000987,CLICKSON 105° (COUPE CIRCUIT EN CAS DE TEMPERATURE TROP ELEVEE),07EDGPEM0006,3.65
ELE0001012R,RELAI,07EDGPEM0007,30.27
ELE0001535CLR,MICRORUPTEUR DE SECURITE,07EDGPEM0008,21.88
ELE0001911,LEVIER DE MICRORUPTEUR,07EDGPPC0001,0.43
ELE0002014,CONNECTEUR BIPOLAIRE 15A 250V,07EDGPEM0009,1.51
ELE0002020,CONNECTEUR BIPOLAIRE 20A 250V,07EDGPEM0010,2.34
ELE0002350,PRISE SECTEUR,07EDGPEM0011,1.66
ELE0003507CL,PORTE FUSIBLE,07EDGPPC0002,2.4
ELE0003509CL1,PORTE FUSIBLE + FUSIBLE 6.3X32 16A,07EDGPEM0012,9.03
ELE0004001R,CAPTEUR DE CAPACITE,07EDGPEM0013,41.44
ELE0009066,FILTRE ANTI PARASITE,07EDGPEM0014,54.36
